id,link
253157,https://www.pluralsight.com/courses/ccai-operations-implementation
253167,https://www.pluralsight.com/courses/intro-routing-protocols
253230,https://www.pluralsight.com/courses/ng-conf-2020-session-14
253231,https://www.pluralsight.com/courses/solution-detail-internet-tracking
253245,https://www.pluralsight.com/courses/google-workspace-mail-management
253246,https://www.pluralsight.com/courses/live-europe-2020-innovation-in-risk
253283,https://www.pluralsight.com/courses/5g-cyber-security-first-look
253348,https://www.pluralsight.com/courses/msft-365-mobility-security-security-threat-management
253349,https://www.pluralsight.com/courses/enterprise-systems-app-modernization-1
253409,https://www.pluralsight.com/courses/ng-conf-2020-session-31
253421,https://www.pluralsight.com/courses/covid-19-self-reliant-neighborhoods
253430,https://www.pluralsight.com/courses/covid-19-polarizing-pandemics
253448,https://www.pluralsight.com/courses/knowledge-management-salesforce-service-cloud
253455,https://www.pluralsight.com/courses/introduction-aruba-networking-concepts-switching-network-design-1
253459,https://www.pluralsight.com/courses/comptia-cloud-plus-deployment-cert
253477,https://www.pluralsight.com/courses/juniper-networks-jncia-junos-configuration-basics
253487,https://www.pluralsight.com/courses/cisco-aci-deploying
253490,https://www.pluralsight.com/courses/big-data-ldn-2020-3t-people-first-organization
253503,https://www.pluralsight.com/courses/pluralsight-live-2020-iag
253508,https://www.pluralsight.com/courses/how-google-does-machine-learning-1
253516,https://www.pluralsight.com/courses/agile-environments-collaboration-self-management
253569,https://www.pluralsight.com/courses/devseccon24-attract-women
253599,https://www.pluralsight.com/courses/microsoft-azure-monthly-update-episode-3
253619,https://www.pluralsight.com/courses/azure-automation-getting-started
253622,https://www.pluralsight.com/courses/js-friends-session-04
253636,https://www.pluralsight.com/courses/logging-monitoring-observability-google-cloud-1
253639,https://www.pluralsight.com/courses/ng-conf-2020-session-25
253645,https://www.pluralsight.com/courses/ng-conf-2020-session-42
253646,https://www.pluralsight.com/courses/exam-alert-implement-security-iot-microsoft-azure
253650,https://www.pluralsight.com/courses/devseccon24-ignites-apac
253657,https://www.pluralsight.com/courses/getting-started-google-kubernetes-engine-5
253658,https://www.pluralsight.com/courses/msft-365-mobility-security-governance-compliance
253697,https://www.pluralsight.com/courses/microsoft-azure-solutions-architect-preparing-az-304-exam
253707,https://www.pluralsight.com/courses/administering-delivery-pipeline-ecosystem-salesforce-cert
253712,https://www.pluralsight.com/courses/creating-deployment-packages-sharepoint-framework-projects
253747,https://www.pluralsight.com/courses/pluralsight-live-2020-development-strategy
253772,https://www.pluralsight.com/courses/migrating-sap-workloads-azure
253776,https://www.pluralsight.com/courses/devseccon24-securing-pipeline-open-source-tools
253790,https://www.pluralsight.com/courses/allthetalks-session-37
253812,https://www.pluralsight.com/courses/introduction-enterprise-resiliency
253817,https://www.pluralsight.com/courses/build-optimal-models-azure-automated-ml
253820,https://www.pluralsight.com/courses/building-resilient-streaming-analytics-systems-gcp-1
253829,https://www.pluralsight.com/courses/implementing-nutanix-networking-security
253850,https://www.pluralsight.com/courses/js-friends-session-14
